name,description,website,contact_email,contact_phone,headquarters_zip,headquarters_city,headquarters_state,benefit_401k,benefit_disability_life,benefit_stock_purchase,benefit_medical_dental_vision,benefit_paid_vacation,benefit_prescription_drug,benefit_weekly_paycheck,benefit_driver_ranking_bonus,benefit_military_program,benefit_tuition_program,benefit_other
Epes,,,,,,,,,,,,,,,,,,"• Appreciation Award
• Credit Union
• Dental Coverage
• Direct Deposit
• Epes Million Mile Award
• Funeral Leave
• HazMat Endorsement Fee Reimbursement
• Health Insurance
• Holiday Pay
• Jury Duty
• Knight of Highway Award
• Life Insurance
• Optional Disability Plan
• PrePass
• Rider Program
• Roadside Inspection Award
• Safe Driving Awards
• Scholarship Fund
• Service Awards
• Spousal Support Program
• Top Achiever Program
• Truck Stop Scanning
• Vacation Pay
• Vision Coverage"
Barr-Nunn,,,,,,,,,,,,,,,,,,"CSA Safety Bonus
• Paid every 90 days to drivers who meet safety criteria. Includes bonus + PTO.
• Solo Drivers: $875 + PTO with Hazmat / $700 + PTO without Hazmat
• Team Drivers: $1,025 each + PTO with Hazmat / $825 each + PTO without Hazmat

On-Road Safety Bonus
• Additional quarterly bonus for safe driving.
• Solo or Team Drivers: $600 every 90 days

PasSmart Safety Bonus
• Earns drivers 68 MPH for 60 minutes per 24 hours (teams: 120 minutes)
• Must maintain a clean safety record (no speeding or probation)

Anniversary Bonus
• Paid annually on the driver’s hire-date anniversary
• $100 per year of service (no cap)

Health Insurance
• Coverage through Blue Cross & Blue Shield; eligible after 60 days
• Weekly Cost: Single – $66 / Employee + Dependent – $142 / Employee + Spouse – $167 / Family – $179
• Dental: $3.75 (single) / $10.50 (family) per week
• Extras include Doctor-on-Demand access and Cafeteria Plan for pre-tax medical/daycare expenses

401(k) Retirement Plan
• Company Match: The greater of 100% up to 3% of eligible wages OR 100% up to $2,000
• Contribution: Match contributed annually if employed on Dec 31
• Eligibility: Eligible after 90 days; subject to vesting

Paid Time Off (PTO)
• Solo Drivers earn PTO every 60,000 paid miles
• Team Drivers each earn PTO every 109,000 paid miles
• Shift Pay Drivers earn PTO annually on their anniversary
• Qualifying for the CSA Bonus every 90 days adds extra PTO

Band Pay
• Introduced to counter shorter freight hauls in the trucking industry
• Solo Mileage Drivers earn higher pay per mile on loads under 400 miles
• Pay Structure: The shorter the haul, the higher the additional Band Pay (paid on both pickup and delivery)
• Benefit: Boosts weekly earnings by rewarding short-haul work"
CFI,,,,,,,,,,,,,,,,,,
CR England,,,,,,,,,,,,,,,,,,"• Weekly Pay & Home Time
• Health Benefits & 401K Participation
• Paid Time Off & Bonus Incentives
• Unlimited Cash Referral Program
• Medical, HSA, Dental, Life Insurance, AD&D, PTO, 401(k), additional voluntary benefits"
Hogan,,,,,,,,,,,,,,,,,,"Account Benefits
•Top 20% drivers earn W2: $105,000
•Non-seasonal freight
•$1,200 weekly guarantee for the first 60 days                                                                                     
Company Benefits
•Top Notch Road Rescue
•Vacation and holiday pay
•Health benefits: Medical, Dental, Vision, Life Insurance
•401(k)
•Steady, non-seasonal freight
•Over 100 years strong
•Referral program
•EAP — Employee Assistance Program
•Drivewyze scale bypass
•Bestpass toll passes"
JB Hunt,,,,,,,,,,,,,,,,,,"•PTO accrues from day one
•401(k) with company match
•Eligible for medical, dental and vision coverage after just 30 days
•Access to life insurance options
•Access to mental health and disability benefits"
MVT,,,,,,,,,,,,,,,,,,
P&S,,,,,,,,,,,,,,,,,,"Paid Orientation
•Drivers receive $1,500 from the sign-on bonus plus all pay from loads turned in by Monday night, as P&S does not hold pay back.
Length of Orientation
•3 days.
Orientation Location
Birmingham, AL.
Orientation Schedule
•Monday–Thursday.
•Typically ends Thursday morning unless additional training is needed, which may extend completion to Friday morning.
Lodging Provided
•Yes — Comfort Inn & Suites in Birmingham (solo rooms).
Meals Provided
•Breakfast.
•Lunch.
•Dinner.
Travel Provided
•Plane or rental car provided.
•Drivers reimbursed up to $0.70 CPM if they choose to drive themselves."
Pam,,,,,,,,,,,,,,,,,,"Benefits Overview
•Medical, prescription, dental, and vision benefits available with multiple coverage levels.
Voluntary Benefits
•Voluntary group life insurance.
•Voluntary AD&D.
•Accident insurance.
•Critical illness insurance.
•Hospital indemnity.
•Permanent life insurance.
•Disability income insurance.
401(k) Plan
•401(k) retirement plan that can be adjusted at any time.
Paid Time Off (PTO)
•Drivers begin earning PTO on their first day of employment.
•PTO accrual rate increases with tenure at PAM.
Insurance Starts When
•Company drivers become eligible the first day of the month following 60 days of service.
•Must be actively employed on the effective date.
•Weekly payroll deductions begin the first pay period after eligibility.
Blue Cross Blue Shield Monthly Cost
•Employee: $35.00
•Employee + Spouse: $85.00
•Employee + Child(ren): $65.00
•Employee + Family: $115.00
Vision Insurance
•Employee: $1.82
•Employee + Spouse: $3.60
•Employee + Child(ren): $3.71
•Employee + Family: $5.97
Dental Insurance
•Employee: $9.25
•Employee + Spouse: $10.00
•Employee + Child(ren): $12.00
•Employee + Family: $14.50
Life Insurance
•$15 per month.
•Covers driver up to a $100,000 benefit.
401(k) Retirement Plan
•Driver may contribute up to 10% monthly.
•Company matches up to 3%."
Swift,,,,,,,,•Company-sponsored retirement savings plan with contribution matching options,"•Comprehensive protection including disability income, life insurance, and accident and critical illness plans",•Employees can invest in company stock through an employee stock purchase program,"•Full health coverage with medical, dental, and vision insurance options",•Drivers earn paid vacation time based on tenure and employment status,•Coverage for prescription medications through available health insurance options,•Drivers receive consistent weekly paychecks,"•Bonuses based on miles driven
•Rewarded for commitment to safety
•On-time delivery performance
•Customer service record
•Total employment duration","•Eligible for the Military Apprenticeship Program
•Approved for GI Bill use
•Veterans can earn pay while completing on-the-job CDL training","•Eligible Knight-Swift employees can eliminate the cost of college
•Online study options available while working
•Access to over 50 career-focused degree programs",
US Xpress,,,,,,,,,,,,,,,,,,"Benefits
•Starts after 30 days
•See Benefit Guide in the info sheet
401(k)
•Yes
•Will match up to 5%
Rider Policy
•Rider must be at least 10 years of age (if under 18, driver must have legal custody of child)
•Riders cannot possess a valid CDL license
•$27.00 per month for insurance
•Only one rider allowed at any given time
•Teams may not have a rider in the truck
•Once a driver is solo, they may have a rider
•Drivers can have riders as long as the account is not local
Pet Policy
•$500 non-refundable maintenance fee and $10 per week charge
•Deducted from driver’s check — $50 per week for 10 weeks
•Limited to one dog or one cat per truck (max 80 lbs)
•Cats must be declawed
•Dog owners must sign paperwork; dogs showing aggression are not permitted
•Service animals require HR review of ADA accommodation form, medical paperwork, and health records
•Recruiter can provide paperwork for driver to start the process"
TA Dedicated,,,,,,,,,,,,,,,,,,"Insurance Starts When?
•60 days
•See Information Sheet for information
401(k) Retirement Plan
•Yes"
WFX,,,,,,,,,,,,,,,,,,
USA Truck,,,,,,,,,,,,,,,,,,"Cameras: Yes — inward facing and incident activated
Benefits: Start on the first day of the month after 60 days
Pay Details
•Detention Pay: $16 per hour
•Short Haul Pay: $25 + mileage (under 100 miles)
•Breakdown Pay: $75 per day
•Extra Stop Pay: $30
Equipment
•Governed Speed: 66 MPH Pedal / 68 MPH Cruise
•APU: No
•Inverter: Yes
•Fridge in Truck: No
•Microwave in Truck: No
•EZ Pass: Yes
•PrePass: Yes"